DeepFlav;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.993098) : (0.994003)) : (x<50 ? 0.994833:0.995368)) : (x<100 ? (x<80 ? (x<70 ? 0.99618:0.996818) : (0.996717)) : (x<120 ? 0.997043:0.997575))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.996626:0.993473) : (0.990575)) : (x<400 ? 0.984332:0.980919)) : (x<800 ? (x<670 ? 0.975626:0.978459) : (x<1000 ? 0.972933:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02076) : (1.01668)) : (x<50 ? 1.01493:1.02006)) : (x<100 ? (x<80 ? (x<70 ? 1.02092:1.02612) : (1.03004)) : (x<120 ? 1.03406:1.03035))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.03599:1.02323) : (1.01362)) : (x<400 ? 1.03568:1.05517)) : (x<800 ? (x<670 ? 1.03627:1.03529) : (x<1000 ? 0.966151:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.19907) : (1.25096)) : (x<50 ? 1.32872:1.375)) : (x<100 ? (x<80 ? (x<70 ? 1.42417:1.44919) : (1.48826)) : (x<120 ? 1.53009:1.57922))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.63412:1.69172) : (1.78551)) : (x<400 ? 1.86202:1.89684)) : (x<800 ? (x<670 ? 1.96812:2.03822) : (x<1000 ? 2.51875:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.991756) : (0.99277)) : (x<50 ? 0.993625:0.994132)) : (x<100 ? (x<80 ? (x<70 ? 0.994876:0.99541) : (0.995573)) : (x<120 ? 0.995622:0.996161))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.994523:0.989989) : (0.985589)) : (x<400 ? 0.977617:0.971471)) : (x<800 ? (x<670 ? 0.963734:0.956386) : (x<1000 ? 0.945164:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01853) : (1.01428)) : (x<50 ? 1.01233:1.01719)) : (x<100 ? (x<80 ? (x<70 ? 1.01773:1.02255) : (1.02704)) : (x<120 ? 1.03025:1.0266))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.03057:1.01466) : (1.00184)) : (x<400 ? 1.02023:1.03576)) : (x<800 ? (x<670 ? 1.0107:0.980089) : (x<1000 ? 0.894669:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.19706) : (1.24838)) : (x<50 ? 1.32525:1.37057)) : (x<100 ? (x<80 ? (x<70 ? 1.41867:1.44266) : (1.48238)) : (x<120 ? 1.52212:1.57091))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.62202:1.67309) : (1.76008)) : (x<400 ? 1.83:1.85715)) : (x<800 ? (x<670 ? 1.91686:1.93538) : (x<1000 ? 2.33869:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994439) : (0.995236)) : (x<50 ? 0.996041:0.996604)) : (x<100 ? (x<80 ? (x<70 ? 0.997483:0.998225) : (0.997861)) : (x<120 ? 0.998465:0.99899))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.998728:0.996956) : (0.995562)) : (x<400 ? 0.991047:0.990367)) : (x<800 ? (x<670 ? 0.987518:1.00053) : (x<1000 ? 1.0007:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02298) : (1.01908)) : (x<50 ? 1.01753:1.02294)) : (x<100 ? (x<80 ? (x<70 ? 1.0241:1.02969) : (1.03304)) : (x<120 ? 1.03787:1.03409))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.04142:1.03179) : (1.0254)) : (x<400 ? 1.05112:1.07459)) : (x<800 ? (x<670 ? 1.06184:1.09049) : (x<1000 ? 1.03763:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.20108) : (1.25353)) : (x<50 ? 1.33219:1.37943)) : (x<100 ? (x<80 ? (x<70 ? 1.42967:1.45572) : (1.49414)) : (x<120 ? 1.53805:1.58754))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.64622:1.71034) : (1.81095)) : (x<400 ? 1.89403:1.93654)) : (x<800 ? (x<670 ? 2.01939:2.14107) : (x<1000 ? 2.69881:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.960182) : (0.970777)) : (x<50 ? 0.975366:0.976572)) : (x<100 ? (x<80 ? (x<70 ? 0.978012:0.979266) : (0.978706)) : (x<120 ? 0.978918:0.980159))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.977785:0.969568) : (0.959333)) : (x<400 ? 0.941594:0.929971)) : (x<800 ? (x<670 ? 0.902333:0.885935) : (x<1000 ? 0.858215:0)))" 
