deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.976074) : (0.979781)) : (x<50 ? 0.981798:0.982043)) : (x<100 ? (x<80 ? (x<70 ? 0.982847:0.983249) : (0.984101)) : (x<120 ? 0.984199:0.987288))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991454:0.992783) : (0.997011)) : (x<400 ? 1.00037:1.01116)) : (x<800 ? (x<670 ? 1.01495:1.01395) : (x<1000 ? 1.02801:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01773) : (1.01919)) : (x<50 ? 1.02081:1.02028)) : (x<100 ? (x<80 ? (x<70 ? 1.02086:1.025) : (1.02314)) : (x<120 ? 1.02467:1.04488))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.07257:1.10028) : (1.11882)) : (x<400 ? 1.15899:1.198)) : (x<800 ? (x<670 ? 1.21319:1.25573) : (x<1000 ? 1.24227:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.27163) : (1.36594)) : (x<50 ? 1.44382:1.50641)) : (x<100 ? (x<80 ? (x<70 ? 1.53978:1.58945) : (1.60849)) : (x<120 ? 1.63008:1.74243))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.88258:1.9801) : (2.13932)) : (x<400 ? 2.31424:2.44373)) : (x<800 ? (x<670 ? 2.75763:3.00315) : (x<1000 ? 3.37751:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.974701) : (0.978522)) : (x<50 ? 0.980563:0.980785)) : (x<100 ? (x<80 ? (x<70 ? 0.98153:0.98184) : (0.98296)) : (x<120 ? 0.982792:0.985906))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.989387:0.989273) : (0.991738)) : (x<400 ? 0.992767:0.999698)) : (x<800 ? (x<670 ? 0.999727:0.984976) : (x<1000 ? 0.989853:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01532) : (1.01662)) : (x<50 ? 1.01801:1.01722)) : (x<100 ? (x<80 ? (x<70 ? 1.01749:1.02124) : (1.02001)) : (x<120 ? 1.02073:1.04097))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.06679:1.09069) : (1.10504)) : (x<400 ? 1.14029:1.17428)) : (x<800 ? (x<670 ? 1.18111:1.1816) : (x<1000 ? 1.13719:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.26908) : (1.36266)) : (x<50 ? 1.4396:1.50115)) : (x<100 ? (x<80 ? (x<70 ? 1.53359:1.58213) : (1.60218)) : (x<120 ? 1.62199:1.73397))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.86981:1.95956) : (2.10966)) : (x<400 ? 2.2736:2.38874)) : (x<800 ? (x<670 ? 2.67699:2.82254) : (x<1000 ? 3.09249:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.977446) : (0.981041)) : (x<50 ? 0.983033:0.983301)) : (x<100 ? (x<80 ? (x<70 ? 0.984164:0.984659) : (0.985242)) : (x<120 ? 0.985606:0.988669))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993521:0.996293) : (1.00228)) : (x<400 ? 1.00797:1.02262)) : (x<800 ? (x<670 ? 1.03017:1.04293) : (x<1000 ? 1.06617:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02014) : (1.02177)) : (x<50 ? 1.02361:1.02335)) : (x<100 ? (x<80 ? (x<70 ? 1.02423:1.02876) : (1.02627)) : (x<120 ? 1.0286:1.04879))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.07835:1.10987) : (1.1326)) : (x<400 ? 1.17769:1.22172)) : (x<800 ? (x<670 ? 1.24528:1.32986) : (x<1000 ? 1.34735:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.27418) : (1.36921)) : (x<50 ? 1.44805:1.51167)) : (x<100 ? (x<80 ? (x<70 ? 1.54598:1.59678) : (1.6148)) : (x<120 ? 1.63817:1.75089))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.89535:2.00064) : (2.16899)) : (x<400 ? 2.35488:2.49873)) : (x<800 ? (x<670 ? 2.83827:3.18375) : (x<1000 ? 3.66253:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.932616) : (0.94348)) : (x<50 ? 0.946791:0.946644)) : (x<100 ? (x<80 ? (x<70 ? 0.94693:0.946914) : (0.945693)) : (x<120 ? 0.943305:0.94536))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.948888:0.945602) : (0.950333)) : (x<400 ? 0.957058:0.964188)) : (x<800 ? (x<670 ? 0.944479:0.951277) : (x<1000 ? 0.942529:0)))" 
